Bucket,Business Name,Store ID,Date,Category,Sub-Category,Bucket Tag,Feedback,Source,Built,Portal
Line item / item-level,Alice Scoopers (Mulberry),34925445,07/20/2025,Restaurant Operations,Menu Management,feature gaps,Item-level discount capability,,,https://www.doordash.com/merchant/sales?store_id=34925445
Line item / item-level,Alice Scoopers (Mulberry),34925445,07/20/2025,Customer Checkout,Order Creation,feature gaps,Item-level discount capability,,,https://www.doordash.com/merchant/sales?store_id=34925445
Line item / item-level,AllFit Nutrition,27813728,03/14/2025,Restaurant Operations,Menu Management,feature gaps,individual item discounts. (I told the mx these are in the works).,,,https://www.doordash.com/merchant/sales?store_id=27813728
Line item / item-level,Bon-Fire Outdoor Charcoal Grill,158531,02/24/2026,Customer Checkout,Order Creation,feature gaps,"Item level discounts needed for ""Buy One Sandwich, Get One Half Off"" promotion - automatically apply 50% discount to lower-priced item",Onboarding,,https://www.doordash.com/merchant/sales?store_id=158531
Line item / item-level,Bravos,11131,03/27/2025,Restaurant Operations,Menu Management,feature improvements,Item based discounts,,,https://www.doordash.com/merchant/sales?store_id=11131
Line item / item-level,Brother's Sandwiches,162941,5/15/2026,Restaurant Operations,Menu Management,feature gaps,"Line-item discounting. Brothers gives food-only discounts to police, firefighters, and parking enforcement — they don't discount drinks. No workaround that fits the use case.",AM Slack Channel,,https://www.doordash.com/merchant/sales?store_id=162941
Line item / item-level,Brothers Sandwiches,162941,5/15/2026,Restaurant Operations,Menu Management,feature gaps,"Line item discounting unavailable - mx gives food discounts to uniformed personnel (police, fire, parking enforcement) but cannot exclude beverages.",AM Calls,,https://www.doordash.com/merchant/sales?store_id=162941
Line item / item-level,Casa de Crepes,24513554,03/14/2025,Restaurant Operations,Menu Management,feature gaps,*Item-level discounting* – Requested as a missing feature,,,https://www.doordash.com/merchant/sales?store_id=24513554
Line item / item-level,Chita's Taqueria,534778,10/29/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=534778
Line item / item-level,Chita's Taqueria,534778,10/29/2024,Customer Relationship,Loyalty,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=534778
Line item / item-level,City Burger White Lake,28458067,03/24/2026,Restaurant Operations,Menu Management,feature gaps,Single item discounts.,Onboarding,,https://www.doordash.com/merchant/sales?store_id=28458067
Line item / item-level,Cracked Eggery,2827991,03/27/2025,Restaurant Operations,Menu Management,feature gaps,Item based discounts,,,https://www.doordash.com/merchant/sales?store_id=2827991
Line item / item-level,Dragonfly Donuts,26125392,10/01/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=26125392
Line item / item-level,Eggsactly,23535599,10/28/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=23535599
Line item / item-level,Eggsactly,23535599,10/29/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=23535599
Line item / item-level,Enroute Coffee,2814558,5/15/2026,Restaurant Operations,Menu Management,feature gaps,"Line item discounting - mx wants to discount individual items on an order, not just totals",AM Calls,,https://www.doordash.com/merchant/sales?store_id=2814558
Line item / item-level,Enroute Coffee & Tea,2814558,5/11/2026,Restaurant Operations,Menu Management,feature gaps,Item-level discounts,Onboarding,,https://www.doordash.com/merchant/sales?store_id=2814558
Line item / item-level,Gateway Deli,625226,04/24/2026,Customer Checkout,Payments,feature gaps,Item Level Discounts,Onboarding,,https://www.doordash.com/merchant/sales?store_id=625226
Line item / item-level,Habibi'z,27724219,11/06/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=27724219
Line item / item-level,HabibiZ,27724219,11/05/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=27724219
Line item / item-level,HabibiZ,27724219,11/05/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=27724219
Line item / item-level,Halal Express Jersey Fords,28983629,10/09/2025,Customer Checkout,Order Creation,feature gaps,Line Item Discounting,AM Calls,,https://www.doordash.com/merchant/sales?store_id=28983629
Line item / item-level,Happy Produce Global LLC,40522329,02/23/2026,Core Point of Sale,Customization,feature gaps,Single Item Discounts would be huge!,Onboarding,,https://www.doordash.com/merchant/sales?store_id=40522329
Line item / item-level,Island Foodie,1376360,10/22/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=1376360
Line item / item-level,Juice Appeal,33695553,04/18/2025,Restaurant Operations,Menu Management,feature gaps,"Item level or open discounts for buy 1, get 1 half off.",,,https://www.doordash.com/merchant/sales?store_id=33695553
Line item / item-level,Lee's Hoagie House (Quakertown),632816,04/14/2026,Restaurant Operations,Menu Management,feature gaps,Item level discounts,Onboarding,,https://www.doordash.com/merchant/sales?store_id=632816
Line item / item-level,Mintea Sanger,24950549,10/10/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=24950549
Line item / item-level,Oh Brother ( Broad St.),27567816,08/28/2025,Restaurant Operations,Cash Management,feature gaps,Item level discounts - Comps and Voids in the more traditional sense,Onboarding,,https://www.doordash.com/merchant/sales?store_id=27567816
Line item / item-level,Philly Hoagie Factory,30069894,03/31/2026,Restaurant Operations,Menu Management,feature gaps,Item level discounts,Onboarding,,https://www.doordash.com/merchant/sales?store_id=30069894
Line item / item-level,Pick a Poke,212480,09/26/2024,Customer Checkout,Order Creation,feature gaps,Ability to apply discounts to individual item(s) rather than defaulting to entire order.,,,https://www.doordash.com/merchant/sales?store_id=212480
Line item / item-level,Pokebola,24684410,10/09/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=24684410
Line item / item-level,Pokebola,293421,10/09/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=293421
Line item / item-level,Pupusas de la Reina,26321470,10/08/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=26321470
Line item / item-level,Sticky Fingers #2,35088623,07/09/2025,Restaurant Operations,Menu Management,feature gaps,Mx requested item level discounts.,,,https://www.doordash.com/merchant/sales?store_id=35088623
Line item / item-level,Taco King,238414,03/13/2026,Core Point of Sale,Customization,feature gaps,Custom/Open and Item Level Discounts,Onboarding,,https://www.doordash.com/merchant/sales?store_id=238414
Line item / item-level,Taichi,30320691,10/28/2025,Customer Checkout,Order Creation,feature gaps,Wants item level discounts: specifically looking for a BOGO function,AM Slack Channel,,https://www.doordash.com/merchant/sales?store_id=30320691
Line item / item-level,Taqueria Mi Sazon,24028667,11/08/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=24028667
Line item / item-level,Taqueria Mi Sazon,24028667,11/08/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=24028667
Line item / item-level,Tasty World,813565,10/30/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=813565
Line item / item-level,Toasty & Sweetz,27570354,03/23/2025,Restaurant Operations,Menu Management,feature gaps,2. Individual item discount,,,https://www.doordash.com/merchant/sales?store_id=27570354
Line item / item-level,Twisted Cookie,475009,01/18/2025,Restaurant Operations,Menu Management,feature gaps,item level discounts: discount specific items with a percentage,,,https://www.doordash.com/merchant/sales?store_id=475009
Line item / item-level,Uncle Biff's Killer Cookies,526986,10/15/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=526986
Line item / item-level,Uncle Biff's Killer Cookies,526986,10/15/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=526986
Line item / item-level,Uncle Biff's Killer Cookies,526986,10/16/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=526986
Line item / item-level,Yomie's Rice x Yogurt,24864950,06/03/2025,Restaurant Operations,Menu Management,feature gaps,Would like item level discounts to offer BOGO 1/2 off.,,,https://www.doordash.com/merchant/sales?store_id=24864950
Line item / item-level,Yummy Sushi Burrito,242306,10/08/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=242306
Line item / item-level,Yummy Sushi Burrito,242306,10/08/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=242306
Line item / item-level,ZCafe,2127891,10/03/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=2127891
Line item / item-level,ZCafe,2127891,10/04/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=2127891
Custom / open / variable / decimal,Best Damn Breakfast Burritos,2649,02/26/2025,Restaurant Operations,Menu Management,feature improvements,"1. Impromptu Discounts - would rather like to be able to individually discount an item then use Open Item. Set individual discounts when needed, rather than through Merchant Portal.",,,https://www.doordash.com/merchant/sales?store_id=2649
Custom / open / variable / decimal,Charminar Biyrani House,26098283,5/15/2026,Customer Checkout,Order Creation,feature gaps,Custom/open discount,Onboarding,,https://www.doordash.com/merchant/sales?store_id=26098283
Custom / open / variable / decimal,Coin de Rue Dessert Bakery,24929803,12/18/2024,Customer Relationship,Acquisition,feature gaps,open discounts,,,https://www.doordash.com/merchant/sales?store_id=24929803
Custom / open / variable / decimal,Coin de Rue Dessert Bakery,24929803,12/18/2024,Customer Checkout,Order Creation,feature gaps,open discounts,Onboarding,,https://www.doordash.com/merchant/sales?store_id=24929803
Custom / open / variable / decimal,Cream Great Mall,23486500,09/26/2024,Customer Relationship,Acquisition,feature improvements,Open dollar and percent discounts,,,https://www.doordash.com/merchant/sales?store_id=23486500
Custom / open / variable / decimal,Crema Coffee & Matcha,32780209,5/12/2026,Customer Checkout,Order Creation,feature gaps,Custom Discounts,Onboarding,,https://www.doordash.com/merchant/sales?store_id=32780209
Custom / open / variable / decimal,Cup of Joy - Pottstown,23923408,04/28/2025,Customer Checkout,Payments,feature improvements,The Dm would like to have an Open Discount option and asked for the auto surcharge on all cards ( I let the Dm know that its coming soon).,,Yes,https://www.doordash.com/merchant/sales?store_id=23923408
Custom / open / variable / decimal,Cup of Joy West Chester,33136131,04/15/2025,Restaurant Operations,Menu Management,feature gaps,"An Open Item Discount option is what the Dm wants. A button that allows the Dm to choose a specific discount, which he can then input on the screen. The Dm would like to see an option similar to that in the future, but is happy with what we now have with our discount method. The Dm would also like color coded buttons with the possibility of pictures of the items on the buttons.",,,https://www.doordash.com/merchant/sales?store_id=33136131
Custom / open / variable / decimal,Delightful Donut,1277774,11/12/2025,Core Point of Sale,Customization,feature gaps,Requested the option to enter a custom % discount on the POS,Onboarding,,https://www.doordash.com/merchant/sales?store_id=1277774
Custom / open / variable / decimal,Enroute Coffee,2814558,5/15/2026,Customer Checkout,Order Creation,feature gaps,Variable / on-the-fly discount entry at checkout (custom % or $) - pre-built buttons are too rigid for staff problem-solving with unhappy customers,AM Calls,,https://www.doordash.com/merchant/sales?store_id=2814558
Custom / open / variable / decimal,Enroute Coffee & Tea,2814558,5/11/2026,Customer Checkout,Order Creation,feature gaps,Open/custom discount,Onboarding,,https://www.doordash.com/merchant/sales?store_id=2814558
Custom / open / variable / decimal,JC's Philly Cheesesteak,1747415,03/05/2026,Core Point of Sale,Customization,feature gaps,Custom Discount,Onboarding,,https://www.doordash.com/merchant/sales?store_id=1747415
Custom / open / variable / decimal,Juice Appeal,33695553,04/18/2025,Restaurant Operations,Menu Management,feature gaps,"Item level or open discounts for buy 1, get 1 half off.",,,https://www.doordash.com/merchant/sales?store_id=33695553
Custom / open / variable / decimal,Kuishimbo,475645,08/20/2025,Customer Checkout,Order Creation,feature gaps,Need discount options that allow typing a custom discount amount per order.,Onboarding,,https://www.doordash.com/merchant/sales?store_id=475645
Custom / open / variable / decimal,Little J's (Concord),40485463,5/11/2026,Customer Checkout,Order Creation,feature improvements,Custom discount button functionality,Onboarding,,https://www.doordash.com/merchant/sales?store_id=40485463
Custom / open / variable / decimal,Mug's Pizza and Subs,26096017,02/05/2025,Core Point of Sale,Customization,feature gaps,custom discount,,,https://www.doordash.com/merchant/sales?store_id=26096017
Custom / open / variable / decimal,Naan n Curry,36969,01/28/2026,Core Point of Sale,Customization,feature gaps,"They plan to use decimal-based discounts; however, this feature is not yet enabled.",Onboarding,,https://www.doordash.com/merchant/sales?store_id=36969
Custom / open / variable / decimal,Newberry Bakery and Cafe,2839895,05/05/2026,Customer Checkout,Order Creation,feature gaps,Custom/Open discounts/surcharges,Onboarding,,https://www.doordash.com/merchant/sales?store_id=2839895
Custom / open / variable / decimal,Nomad,28612282,04/24/2026,Customer Checkout,Payments,feature improvements,Front-end variable discount tab with predefined percentages (10/20/30/40/50),AM Calls,,https://www.doordash.com/merchant/sales?store_id=28612282
Custom / open / variable / decimal,Old School Burgers Dogs & Shakes,23229076,03/26/2026,Customer Checkout,Order Creation,feature gaps,Open Discount Button,Onboarding,,https://www.doordash.com/merchant/sales?store_id=23229076
Custom / open / variable / decimal,Planted Cafe ñ,652026,09/29/2025,Core Point of Sale,Customization,feature gaps,Add a custom discount button within the POS.,Onboarding,,https://www.doordash.com/merchant/sales?store_id=652026
Custom / open / variable / decimal,Submarine King,33112075,04/18/2026,Customer Checkout,Order Creation,feature gaps,custom discounts,Onboarding,,https://www.doordash.com/merchant/sales?store_id=33112075
Custom / open / variable / decimal,Taco King,238414,03/13/2026,Core Point of Sale,Customization,feature gaps,Custom/Open and Item Level Discounts,Onboarding,,https://www.doordash.com/merchant/sales?store_id=238414
Custom / open / variable / decimal,Taco Loco,26006915,01/20/2026,Customer Checkout,Payments,feature gaps,Decimal-place discount percentages; Requires exact 6.625% discount to offset NJ tax rate; current 6% cash discount insufficient,AM Calls,,https://www.doordash.com/merchant/sales?store_id=26006915
Custom / open / variable / decimal,Taichi Mt. Propsect,35540217,10/15/2025,Customer Checkout,Payments,feature gaps,Customizable/Open Discounts - had to create approx 20 Discounts for legacy loyalty redemption,Onboarding,,https://www.doordash.com/merchant/sales?store_id=35540217
Custom / open / variable / decimal,Taichi Mt. Propsect,35540217,10/14/2025,Core Point of Sale,Customization,feature gaps,Customizable discounts utilizing Open Discount,Onboarding,,https://www.doordash.com/merchant/sales?store_id=35540217
Custom / open / variable / decimal,Teppanyaki Madness,26111057,5/12/2026,Customer Checkout,Order Creation,feature gaps,Custom discount,Onboarding,,https://www.doordash.com/merchant/sales?store_id=26111057
Stacking / layering / multiple,Bravos,11131,04/01/2025,Customer Relationship,Acquisition,feature improvements,Promo Stacking (multiple discounts),,,https://www.doordash.com/merchant/sales?store_id=11131
Stacking / layering / multiple,Chita's Taqueria,534778,10/29/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=534778
Stacking / layering / multiple,Chita's Taqueria,534778,10/29/2024,Customer Relationship,Loyalty,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=534778
Stacking / layering / multiple,Dragonfly Donuts,26125392,10/01/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=26125392
Stacking / layering / multiple,Eggsactly,23535599,10/28/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=23535599
Stacking / layering / multiple,Eggsactly,23535599,10/29/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=23535599
Stacking / layering / multiple,Great Wall Express,634985,03/16/2026,Core Point of Sale,Customization,feature gaps,Multiple discount/surcharge,Onboarding,,https://www.doordash.com/merchant/sales?store_id=634985
Stacking / layering / multiple,Habibi'z,27724219,11/06/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=27724219
Stacking / layering / multiple,HabibiZ,27724219,11/05/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=27724219
Stacking / layering / multiple,HabibiZ,27724219,11/05/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=27724219
Stacking / layering / multiple,Island Foodie,1376360,10/22/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=1376360
Stacking / layering / multiple,Juice Appeal,29629125,04/22/2025,Customer Checkout,Order Creation,feature gaps,Multiple Discounts: System can't support more than one discount per order,,,https://www.doordash.com/merchant/sales?store_id=29629125
Stacking / layering / multiple,Juice Appeal - Kala Bagai,29629125,02/18/2026,Customer Checkout,Order Creation,feature gaps,Cannot process multiple transactions for single customer (stacking discounts and surcharges),AM Calls,,https://www.doordash.com/merchant/sales?store_id=29629125
Stacking / layering / multiple,Mintea Sanger,24950549,10/10/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=24950549
Stacking / layering / multiple,Pokebola,24684410,10/09/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=24684410
Stacking / layering / multiple,Pokebola,293421,10/09/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=293421
Stacking / layering / multiple,Pupusas de la Reina,26321470,10/08/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=26321470
Stacking / layering / multiple,SmashBros,29869521,04/01/2025,Customer Relationship,Acquisition,feature improvements,Promo Stacking (multiple discounts),,,https://www.doordash.com/merchant/sales?store_id=29869521
Stacking / layering / multiple,Taqueria Mi Sazon,24028667,11/08/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=24028667
Stacking / layering / multiple,Taqueria Mi Sazon,24028667,11/08/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=24028667
Stacking / layering / multiple,Tasty World,813565,10/30/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=813565
Stacking / layering / multiple,Uncle Biff's Killer Cookies,526986,10/15/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=526986
Stacking / layering / multiple,Uncle Biff's Killer Cookies,526986,10/15/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=526986
Stacking / layering / multiple,Uncle Biff's Killer Cookies,526986,10/16/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=526986
Stacking / layering / multiple,Yummy Sushi Burrito,242306,10/08/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=242306
Stacking / layering / multiple,Yummy Sushi Burrito,242306,10/08/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=242306
Stacking / layering / multiple,ZCafe,2127891,10/03/2024,Customer Checkout,Order Creation,feature improvements,"Discounts improvements - layering, item based, time based, etc",Onboarding,,https://www.doordash.com/merchant/sales?store_id=2127891
Stacking / layering / multiple,ZCafe,2127891,10/04/2024,Restaurant Operations,Menu Management,feature improvements,"Discounts improvements - layering, item based, time based, etc",,,https://www.doordash.com/merchant/sales?store_id=2127891
Dual discount + surcharge,Great Wall Express,634985,03/16/2026,Core Point of Sale,Customization,feature gaps,Multiple discount/surcharge,Onboarding,,https://www.doordash.com/merchant/sales?store_id=634985
Dual discount + surcharge,HabibiZ,27724219,11/05/2024,Customer Checkout,Payments,feature gaps,Would like the ability to add a discount and a surcharge for the same order.  For instance adding a 15% service charge for catering as well as a discount for being a good customer.  Currently we can add only 1.,,,https://www.doordash.com/merchant/sales?store_id=27724219
Dual discount + surcharge,HabibiZ,27724219,11/05/2024,Customer Checkout,Order Creation,feature gaps,Would like the ability to add a discount and a surcharge for the same order. For instance adding a 15% service charge for catering as well as a discount for being a good customer. Currently we can add only 1.,Onboarding,,https://www.doordash.com/merchant/sales?store_id=27724219
Dual discount + surcharge,Juice Appeal - Kala Bagai,29629125,02/18/2026,Customer Checkout,Payments,feature gaps,Cannot apply discount and surcharge for credit card in same transaction,AM Calls,,https://www.doordash.com/merchant/sales?store_id=29629125
